"","Date","Value"
"98333231",2017-08-27 08:53:15.865,-15
"98333241",2017-08-27 08:53:15.869,-15
"98333251",2017-08-27 08:53:15.875,-16
"98333261",2017-08-27 08:53:15.880,-16
"98333271",2017-08-27 08:53:15.884,-15
"98333281",2017-08-27 08:53:15.890,-16
"98333291",2017-08-27 08:53:15.894,-17
"98333301",2017-08-27 08:53:15.900,-17
"98333311",2017-08-27 08:53:15.904,-15
"98333321",2017-08-27 08:53:15.910,-15
"98333331",2017-08-27 08:53:15.914,-16
"98333341",2017-08-27 08:53:15.920,-17
"98333351",2017-08-27 08:53:15.924,-15
"98333361",2017-08-27 08:53:15.930,-15
"98333371",2017-08-27 08:53:15.934,-18
"98333381",2017-08-27 08:53:15.940,-17
"98333391",2017-08-27 08:53:15.944,-15
"98333401",2017-08-27 08:53:15.950,-16
"98333411",2017-08-27 08:53:15.954,-16
"98333421",2017-08-27 08:53:15.960,-16
"98333431",2017-08-27 08:53:15.964,-17
"98333441",2017-08-27 08:53:15.970,-18
"98333451",2017-08-27 08:53:15.974,-17
"98333461",2017-08-27 08:53:15.980,-17
"98333471",2017-08-27 08:53:15.984,-18
"98333481",2017-08-27 08:53:15.990,-18
"98333491",2017-08-27 08:53:15.994,-15
"98333501",2017-08-27 08:53:16.000,-11
"98333511",2017-08-27 08:53:16.005,-9
"98333521",2017-08-27 08:53:16.009,-10
"98333531",2017-08-27 08:53:16.015,-9
"98333541",2017-08-27 08:53:16.019,-9
"98333551",2017-08-27 08:53:16.025,-9
"98333561",2017-08-27 08:53:16.029,-11
"98333571",2017-08-27 08:53:16.035,-13
"98333581",2017-08-27 08:53:16.039,-15
"98333591",2017-08-27 08:53:16.045,-15
"98333601",2017-08-27 08:53:16.049,-14
"98333611",2017-08-27 08:53:16.055,-13
"98333621",2017-08-27 08:53:16.059,-11
"98333631",2017-08-27 08:53:16.065,4
"98333641",2017-08-27 08:53:16.069,40
"98333651",2017-08-27 08:53:16.075,75
"98333661",2017-08-27 08:53:16.079,83
"98333671",2017-08-27 08:53:16.085,56
"98333681",2017-08-27 08:53:16.089,12
"98333691",2017-08-27 08:53:16.095,-16
"98333701",2017-08-27 08:53:16.099,-15
"98333711",2017-08-27 08:53:16.105,-3
"98333721",2017-08-27 08:53:16.109,4
"98333731",2017-08-27 08:53:16.115,5
"98333741",2017-08-27 08:53:16.119,2
"98333751",2017-08-27 08:53:16.125,2
"98333761",2017-08-27 08:53:16.130,2
"98333771",2017-08-27 08:53:16.134,0
"98333781",2017-08-27 08:53:16.140,-2
"98333791",2017-08-27 08:53:16.144,-1
"98333801",2017-08-27 08:53:16.150,0
"98333811",2017-08-27 08:53:16.154,-2
"98333821",2017-08-27 08:53:16.160,-3
"98333831",2017-08-27 08:53:16.164,-2
"98333841",2017-08-27 08:53:16.170,0
"98333851",2017-08-27 08:53:16.174,0
"98333861",2017-08-27 08:53:16.180,-1
"98333871",2017-08-27 08:53:16.184,0
"98333881",2017-08-27 08:53:16.190,1
"98333891",2017-08-27 08:53:16.194,2
"98333901",2017-08-27 08:53:16.200,2
"98333911",2017-08-27 08:53:16.204,2
"98333921",2017-08-27 08:53:16.210,3
"98333931",2017-08-27 08:53:16.214,3
"98333941",2017-08-27 08:53:16.220,3
"98333951",2017-08-27 08:53:16.224,4
"98333961",2017-08-27 08:53:16.230,6
"98333971",2017-08-27 08:53:16.234,5
"98333981",2017-08-27 08:53:16.240,6
"98333991",2017-08-27 08:53:16.244,8
"98334001",2017-08-27 08:53:16.250,10
"98334011",2017-08-27 08:53:16.255,12
"98334021",2017-08-27 08:53:16.259,13
"98334031",2017-08-27 08:53:16.265,15
"98334041",2017-08-27 08:53:16.269,18
"98334051",2017-08-27 08:53:16.275,19
"98334061",2017-08-27 08:53:16.279,20
"98334071",2017-08-27 08:53:16.285,20
